ticker,leg,side,option_type,expiry,strike,entry_date,exit_date,monthly_expiry,weekly_expiry,scheduled_entry_date,spot,atm_strike,spot_timestamp,entry_timestamp,entry_close,entry_volume,entry_oi,entry_source,exit_timestamp,exit_close,exit_volume,exit_oi,exit_source,entry_available,exit_available,lot_size,entry_exec,exit_exec,leg_pnl
NIFTY,L1,BUY,PE,2025-10-28,24650.0,2025-10-01,2025-10-07,2025-10-28,2025-10-07,2025-10-01,24659.95,24650.0,2025-10-01 09:30:00+05:30,2025-10-01 09:30:00+05:30,218.85,31200.0,204450.0,upstox_expired,2025-10-07 15:15:00+05:30,57.1,2850.0,0.0,upstox_expired,True,True,75,219.94424999999998,56.8145,-12234.731249999997
NIFTY,L2,SELL,PE,2025-10-07,24750.0,2025-10-01,2025-10-07,2025-10-28,2025-10-07,2025-10-01,24659.95,24650.0,2025-10-01 09:30:00+05:30,2025-10-01 09:30:00+05:30,148.95,217275.0,1356150.0,upstox_expired,2025-10-07 15:15:00+05:30,0.05,215625.0,0.0,upstox_expired,True,True,75,148.20524999999998,0.050249999999999996,11111.624999999998
NIFTY,L3,BUY,CE,2025-10-07,24650.0,2025-10-01,2025-10-07,2025-10-28,2025-10-07,2025-10-01,24659.95,24650.0,2025-10-01 09:30:00+05:30,2025-10-01 09:30:00+05:30,140.0,1342200.0,4354125.0,upstox_expired,2025-10-07 15:15:00+05:30,455.15,2550.0,0.0,upstox_expired,True,True,75,140.7,452.87424999999996,23413.06875
NIFTY,L4,SELL,CE,2025-10-28,24550.0,2025-10-01,2025-10-07,2025-10-28,2025-10-07,2025-10-01,24659.95,24650.0,2025-10-01 09:30:00+05:30,2025-10-01 09:30:00+05:30,420.0,1650.0,16800.0,upstox_expired,2025-10-07 15:15:00+05:30,757.7,0.0,0.0,upstox_expired,True,True,75,417.9,761.4884999999999,-25769.137499999997
NIFTY,L1,BUY,PE,2025-10-28,25150.0,2025-10-08,2025-10-14,2025-10-28,2025-10-14,2025-10-08,25167.6,25150.0,2025-10-08 09:30:00+05:30,2025-10-08 09:30:00+05:30,157.7,3975.0,191475.0,upstox_expired,2025-10-14 15:15:00+05:30,171.05,5025.0,390900.0,upstox_expired,True,True,75,158.48849999999996,170.19475,877.968750000003
NIFTY,L2,SELL,PE,2025-10-14,25250.0,2025-10-08,2025-10-14,2025-10-28,2025-10-14,2025-10-08,25167.6,25150.0,2025-10-08 09:30:00+05:30,2025-10-08 09:30:00+05:30,126.75,174600.0,1364625.0,upstox_expired,2025-10-14 15:15:00+05:30,103.45,389100.0,2935800.0,upstox_expired,True,True,75,126.11625,103.96724999999999,1661.1750000000002
NIFTY,L3,BUY,CE,2025-10-14,25150.0,2025-10-08,2025-10-14,2025-10-28,2025-10-14,2025-10-08,25167.6,25150.0,2025-10-08 09:30:00+05:30,2025-10-08 09:30:00+05:30,141.2,831600.0,5513550.0,upstox_expired,2025-10-14 15:15:00+05:30,1.6,34585125.0,34958400.0,upstox_expired,True,True,75,141.90599999999998,1.592,-10523.549999999997
NIFTY,L4,SELL,CE,2025-10-28,25050.0,2025-10-08,2025-10-14,2025-10-28,2025-10-14,2025-10-08,25167.6,25150.0,2025-10-08 09:30:00+05:30,2025-10-08 09:30:00+05:30,348.2,450.0,105900.0,upstox_expired,2025-10-14 15:15:00+05:30,295.6,3975.0,103425.0,upstox_expired,True,True,75,346.459,297.078,3703.575000000002
NIFTY,L1,BUY,PE,2025-10-28,25250.0,2025-10-15,2025-10-20,2025-10-28,2025-10-20,2025-10-15,25262.25,25250.0,2025-10-15 09:30:00+05:30,2025-10-15 09:30:00+05:30,132.1,26925.0,467700.0,upstox_expired,2025-10-20 15:15:00+05:30,13.55,12975.0,1383825.0,upstox_expired,True,True,75,132.76049999999998,13.48225,-8945.86875
NIFTY,L2,SELL,PE,2025-10-20,25350.0,2025-10-15,2025-10-20,2025-10-28,2025-10-20,2025-10-15,25262.25,25250.0,2025-10-15 09:30:00+05:30,2025-10-15 09:30:00+05:30,123.7,301650.0,977325.0,upstox_expired,2025-10-20 15:15:00+05:30,0.1,92700.0,3917700.0,upstox_expired,True,True,75,123.0815,0.10049999999999999,9223.575
